sourceNodeIndex,targetNodeIndex,weight
473,247,0.0
473,384,14.6975565
1170,1172,40.274834
1170,958,28.791182
1170,603,28.791182
1170,627,40.274834
1170,873,26.848413
1170,918,0.0
1134,229,0.0
1134,741,46.222553
1134,960,46.222553
958,1170,28.791182
958,1291,18.366833
958,1037,38.462566
958,1172,0.0
958,32,18.366833
958,675,0.0
958,603,0.0
958,627,18.366833
958,553,38.462566
958,918,0.0
214,233,17.83168
214,355,17.83168
214,1424,15.584736
214,1322,14.041969
214,1098,17.83168
214,308,0.0
214,877,0.0
214,1354,21.914316
214,1228,11.5434675
214,66,21.914316
1006,1247,0.0
1006,1376,0.0
1006,643,32.34158
1006,167,32.575787
1193,1328,11.977876
1193,188,0.0
1193,385,17.999811
1193,994,0.0
1193,55,17.999811
1193,868,11.977876
1193,980,17.999811
1193,1005,11.977876
1193,375,17.999811
1366,893,47.37032
1366,538,0.0
1366,920,22.847736
1366,294,0.0
1366,959,47.37032
1366,1058,14.464467
1366,77,0.0
1366,35,42.023323
442,109,0.0
442,407,0.0
454,1144,0.0
454,1136,0.0
454,491,0.0
454,1101,12.954597
454,168,40.19542
454,26,12.954597
642,1047,29.297657
642,1380,0.0
642,1211,0.0
642,802,42.56165
642,1442,0.0
642,861,0.0
642,874,0.0
642,670,38.71913
642,1344,29.297657
642,1316,0.0
1047,1353,8.971925
1047,1344,8.971925
1047,1316,29.297657
1047,1254,0.0
1047,642,29.297657
1047,1032,0.0
1047,802,0.0
1047,928,0.0
1047,126,8.971925
1047,418,8.971925
1047,670,42.009113
653,871,0.0
216,265,42.72949
216,1233,0.0
216,1269,42.72949
584,808,10.956699
584,1026,0.0
584,1075,10.956699
584,1081,0.0
584,306,10.956699
584,161,44.64797
584,27,0.0
348,1207,10.34262
348,440,0.0
348,324,0.0
348,334,44.5954
348,10,43.428684
348,91,44.5954
248,763,0.0
248,349,0.0
248,311,0.0
248,526,32.682056
248,610,0.0
248,581,37.572044
248,67,0.0
157,1247,47.366905
157,751,0.0
157,364,0.0
157,955,0.0
157,1391,0.0
157,711,0.0
157,167,0.0
564,880,0.0
564,829,22.384188
564,1077,0.0
564,1348,36.538532
564,1385,12.245131
564,1383,22.384188
564,1031,36.775253
564,1376,36.538532
564,1332,36.538532
564,158,30.205442
564,345,36.775253
564,507,40.121773
564,548,0.0
564,25,22.384188
564,453,0.0
564,339,26.590933
564,450,0.0
564,492,22.384188
564,62,0.0
124,837,13.630897
124,897,18.045925
124,188,35.714577
124,597,18.045925
124,1327,20.369267
124,1202,0.0
124,504,13.582346
124,55,0.0
515,956,0.0
515,899,0.0
515,544,42.73989
515,1347,0.0
515,1203,30.709406
515,1052,42.282455
515,57,49.1362
515,210,0.0
515,341,0.0
515,383,48.7935
515,263,21.578815
324,1207,9.6482725
324,348,0.0
324,577,0.0
324,733,0.0
324,334,10.34262
324,1002,0.0
324,132,9.6482725
201,545,35.978954
201,639,0.0
201,972,35.978954
201,726,30.226744
201,500,21.467812
201,73,9.504624
201,28,16.851421
1150,1345,13.599009
1150,933,14.941722
631,1375,33.33989
631,1059,35.549534
631,840,0.0
631,1016,0.0
631,141,0.0
631,222,35.549534
631,392,35.549534
631,47,0.0
763,248,0.0
763,349,37.572044
763,311,32.292664
763,67,0.0
763,610,37.572044
763,581,0.0
577,1207,9.6482725
577,733,0.0
577,1290,42.158375
577,844,42.158375
577,1004,0.0
577,1002,0.0
577,324,0.0
577,132,9.6482725
577,11,42.158375
577,64,42.158375
846,120,9.0684805
846,133,0.0
846,396,43.549328
846,200,0.0
846,69,0.0
846,278,9.0684805
846,767,9.0684805
846,204,0.0
846,746,9.0684805
567,798,0.0
567,1393,27.645048
567,170,48.3495
671,911,0.0
671,22,0.0
519,1253,0.0
519,1305,35.198494
519,1179,35.198494
519,1377,15.442624
519,824,34.23342
519,813,35.198494
519,1387,48.32861
519,1196,49.115135
519,145,34.23342
519,156,35.198494
519,505,15.442624
779,1397,46.32748
779,1012,34.254513
779,598,46.32748
779,768,0.0
779,265,45.663345
779,5,8.00312
32,958,18.366833
32,675,18.366833
32,718,0.0
32,627,0.0
32,1291,0.0
32,553,32.820415
32,1037,32.820415
557,963,0.0
557,1412,29.304672
557,1105,0.0
557,1382,45.636803
557,3,45.636803
557,130,0.0
557,154,45.636803
557,184,12.975874
187,1117,19.168552
187,224,0.0
187,490,0.0
187,1334,0.0
187,839,0.0
187,245,19.09767
187,1053,0.0
1245,1375,0.0
1245,1197,47.649757
1245,840,0.0
1245,654,0.0
1245,1045,47.649757
1245,38,0.7350497
989,1044,39.195984
989,605,39.195984
989,190,15.758274
82,663,31.173447
1448,405,0.0
1448,206,17.57613
1448,238,30.519403
1448,1078,30.030905
1448,596,43.48819
1448,682,0.0
792,956,0.0
792,900,0.0
792,831,29.39463
792,1177,23.077467
792,1147,23.077467
792,1323,25.82077
792,827,29.39463
792,549,39.046253
792,341,27.163673
792,722,27.163673
792,40,23.077467
792,340,27.163673
792,213,29.39463
792,468,0.0
441,507,0.0
441,528,0.0
441,1083,0.0
441,1076,0.0
441,701,0.0
441,1158,0.0
441,450,22.839596
441,1343,0.0
441,128,0.0
169,761,0.0
800,1227,0.0
800,1017,35.96088
800,1209,0.0
800,1409,0.0
800,1084,0.0
800,1398,0.0
800,246,0.0
800,333,0.0
688,699,35.352524
688,1265,40.255787
688,1120,0.0
688,966,40.255787
688,1094,40.255787
688,1282,12.956205
688,266,0.0
688,219,0.0
688,632,22.409094
688,183,40.255787
688,513,40.255787
