Feature,Mean,Std,Min,Max
speed_norm,0.6521359086036682,0.4308958053588867,0.0,2.0
jf_norm,0.09584155678749084,0.14827993512153625,0.0,0.9900000095367432
conf,0.6588014960289001,0.38714227080345154,0.0,0.9900000095367432
sin_hour,-0.3488559424877167,0.4705364406108856,-0.9999619126319885,0.7223639488220215
cos_hour,0.15727481245994568,0.6221616864204407,-0.9999619126319885,0.9999904632568359
sin_dow,-0.25544291734695435,0.5375374555587769,-0.9749279022216797,0.7818315029144287
cos_dow,-0.20013727247714996,0.6005608439445496,-0.9009688496589661,1.0
is_weekend,0.33865344524383545,0.473253458738327,0.0,1.0
